Generation,Individual,Fitness,Density,Avg_Neighbors
13,1,6131,0.4744,3.7952
13,2,5981,0.4884,3.9072
13,3,6442,0.4668,3.7344
13,4,5935,0.5,4.0
13,5,5771,0.5024,4.0192
13,6,5780,0.486,3.888
13,7,5989,0.4812,3.8496
13,8,6054,0.4836,3.8688
13,9,5798,0.5,4.0
13,10,5891,0.4828,3.8624
13,11,6199,0.4836,3.8688
13,12,6090,0.4836,3.8688
13,13,5925,0.4908,3.9264
13,14,6655,0.4748,3.7984
13,15,6080,0.4816,3.8528
13,16,6271,0.4876,3.9008
13,17,5821,0.4892,3.9136
13,18,5909,0.49,3.92
13,19,5893,0.48,3.84
13,20,5995,0.4828,3.8624
13,21,6095,0.498,3.984
13,22,5971,0.4876,3.9008
13,23,5770,0.4936,3.9488
13,24,5472,0.4892,3.9136
13,25,6261,0.482,3.856
13,26,6041,0.49,3.92
13,27,5569,0.4924,3.9392
13,28,6248,0.4884,3.9072
13,29,6309,0.482,3.856
13,30,5893,0.49,3.92
13,31,6132,0.4848,3.8784
13,32,6072,0.486,3.888
13,33,5955,0.4928,3.9424
13,34,6258,0.4904,3.9232
13,35,6108,0.4864,3.8912
13,36,6409,0.4912,3.9296
13,37,6572,0.4752,3.8016
13,38,6379,0.4716,3.7728
13,39,6079,0.4872,3.8976
13,40,5851,0.4852,3.8816
13,41,6220,0.4956,3.9648
13,42,5944,0.4888,3.9104
13,43,5920,0.4892,3.9136
13,44,6478,0.4856,3.8848
13,45,6060,0.49,3.92
13,46,5907,0.4792,3.8336
13,47,6190,0.5004,4.0032
13,48,5900,0.4856,3.8848
13,49,6042,0.4888,3.9104
14,0,5846,0.4672,3.7376
14,1,6678,0.4788,3.8304
14,2,6064,0.4964,3.9712
14,3,5707,0.5036,4.0288
14,4,5758,0.5004,4.0032
14,5,6324,0.4796,3.8368
14,6,5376,0.5008,4.0064
14,7,5884,0.5,4.0
14,8,5861,0.4968,3.9744
14,9,5135,0.506,4.048
14,10,5885,0.4772,3.8176
14,11,6199,0.4852,3.8816
14,12,6866,0.4948,3.9584
14,13,5659,0.5036,4.0288
14,14,5594,0.5004,4.0032
14,15,6261,0.48,3.84
14,16,5728,0.4764,3.8112
14,17,6203,0.4804,3.8432
14,18,6270,0.4824,3.8592
14,19,6062,0.4748,3.7984
14,20,5466,0.4944,3.9552
14,21,6303,0.4852,3.8816
14,22,5865,0.4884,3.9072
14,23,6316,0.49,3.92
14,24,6633,0.4776,3.8208
14,25,5702,0.4808,3.8464
14,26,5738,0.488,3.904
14,27,5977,0.4932,3.9456
14,28,6492,0.4868,3.8944
14,29,5927,0.4684,3.7472
14,30,5828,0.4948,3.9584
14,31,5239,0.5036,4.0288
14,32,5675,0.488,3.904
14,33,5867,0.4936,3.9488
14,34,5961,0.4824,3.8592
14,35,6233,0.4876,3.9008
14,36,6008,0.4708,3.7664
14,37,6385,0.48,3.84
14,38,5777,0.4884,3.9072
14,39,5999,0.4904,3.9232
14,40,6027,0.4868,3.8944
14,41,5786,0.4976,3.9808
14,42,6562,0.4816,3.8528
14,43,6008,0.4752,3.8016
14,44,6186,0.484,3.872
14,45,6550,0.4864,3.8912
14,46,5963,0.5076,4.0608
14,47,5437,0.4988,3.9904
14,48,6309,0.4864,3.8912
14,49,5906,0.4844,3.8752
15,0,6106,0.492,3.936
15,1,6135,0.482,3.856
15,2,6209,0.4828,3.8624
15,3,5982,0.4876,3.9008
15,4,6080,0.4856,3.8848
15,5,6280,0.4792,3.8336
15,6,5915,0.482,3.856
15,7,6001,0.496,3.968
15,8,6288,0.4848,3.8784
15,9,6760,0.4732,3.7856
15,10,5601,0.4988,3.9904
15,11,6219,0.478,3.824
15,12,5872,0.4976,3.9808
15,13,6489,0.4852,3.8816
15,14,6034,0.4936,3.9488
15,15,6511,0.4804,3.8432
15,16,5962,0.5024,4.0192
15,17,5874,0.4856,3.8848
15,18,6517,0.4964,3.9712
15,19,5795,0.4892,3.9136
15,20,6256,0.4696,3.7568
15,21,6534,0.476,3.808
15,22,5976,0.488,3.904
15,23,6134,0.4888,3.9104
15,24,6439,0.4804,3.8432
15,25,6454,0.4784,3.8272
15,26,5922,0.494,3.952
15,27,5625,0.4876,3.9008
15,28,6083,0.4976,3.9808
15,29,5960,0.504,4.032
15,30,5670,0.4976,3.9808
15,31,5960,0.4812,3.8496
15,32,5790,0.4916,3.9328
15,33,6244,0.48,3.84
15,34,5950,0.4812,3.8496
15,35,6160,0.498,3.984
15,36,6016,0.4864,3.8912
15,37,5806,0.4928,3.9424
15,38,5831,0.4824,3.8592
15,39,6351,0.4784,3.8272
15,40,5614,0.5036,4.0288
15,41,6288,0.4768,3.8144
15,42,6308,0.4816,3.8528
15,43,5646,0.4848,3.8784
15,44,6532,0.4876,3.9008
15,45,6200,0.478,3.824
15,46,6183,0.4872,3.8976
15,47,5843,0.4896,3.9168
15,48,5787,0.484,3.872
15,49,6073,0.4772,3.8176
16,0,6371,0.4804,3.8432
16,1,6266,0.4796,3.8368
16,2,6349,0.4912,3.9296
16,3,6271,0.4896,3.9168
16,4,6483,0.4852,3.8816
16,5,6485,0.4772,3.8176
16,6,6352,0.4816,3.8528
16,7,5890,0.4856,3.8848
16,8,6084,0.4848,3.8784
16,9,6112,0.4808,3.8464
16,10,6139,0.4828,3.8624
16,11,6182,0.49,3.92
16,12,5864,0.5044,4.0352
16,13,6364,0.4964,3.9712
16,14,6031,0.4756,3.8048
16,15,6137,0.49,3.92
16,16,6194,0.4832,3.8656
16,17,6113,0.48,3.84
16,18,6066,0.4836,3.8688
16,19,6105,0.476,3.808
16,20,6195,0.4844,3.8752
16,21,5948,0.4844,3.8752
16,22,6273,0.4824,3.8592
16,23,6126,0.4816,3.8528
16,24,6397,0.5044,4.0352
16,25,5861,0.4884,3.9072
16,26,6370,0.494,3.952
16,27,6624,0.4708,3.7664
16,28,6348,0.4744,3.7952
16,29,6720,0.4864,3.8912
16,30,6372,0.482,3.856
16,31,6584,0.4808,3.8464
16,32,5789,0.4948,3.9584
16,33,5979,0.4864,3.8912
16,34,6021,0.4808,3.8464
16,35,5915,0.488,3.904
